IV1,IV2,IV3,Gender,DV
2.880952381,0,1.920634921,1,0.71
2.928571429,0.25,1.404761905,1,0.71
3,0,2.03968254,0,0.71
3.5,0,2.238095238,1,0.71
2.523809524,0,1.571428571,0,0.86
2.80952381,0,1.73015873,0,0.86
2.928571429,0,0.404761905,1,0.86
3.214285714,0,0.404761905,0,0.86
3.380952381,0,2.23015873,1,0.86
4.380952381,0.2,1.841269841,0,0.86
2.595238095,0.25,2.238095238,0,0.9
2.880952381,0,1.96031746,1,1
3.476190476,0,0.849206349,1,1
3.595238095,0.333333333,2.03968254,1,1
3.666666667,0.4,1.96031746,1,1
3.833333333,0,3.753968254,1,1
4.047619048,0.666666667,1.69047619,1,1
2.428571429,0.25,0.682539683,0,1.14
2.761904762,0.6,2.30952381,1,1.14
2.928571429,0.25,2.753968254,1,1.14
3.095238095,0.4,0.285714286,1,1.29
3.666666667,0,3.357142857,1,1.5
3.547619048,0,2.428571429,1,1.63
4.880952381,0,1.563492063,0,1.63
3.380952381,0.666666667,2.126984127,1,1.78
1.619047619,0.25,2.873015873,1,2
3.380952381,0.4,2.246031746,1,2.25
3.833333333,0.25,2.515873016,1,2.25
3.476190476,0.4,2.587301587,1,2.68
4.166666667,0.714285714,3.325396825,1,2.78
