time,type,lastType,playId,lastXPosition,lastYPosition,xPosition,yPosition,possessionId,rushingDistance,verticalDistance,totalDistance,throwerId,recieverId,breakThrow,stallSix,stallHeight,defender,stall,block,throwaway,intercept,drop,score,homeAttackingRight,homeOnOffense,pointId,gameId,accountId,
3178,CAUGHT,THROWN,0,3477,4918,3447,1438,0,-0.39,17.4,17.404,0,0,0,0,0,1371831762,0,0,0,0,0,0,0,0,0,1374520755,442,
3195,CAUGHT,THROWN,1,3447,1438,4395,2386,0,12.324,4.74,13.204,0,0,0,0,0,1371831762,0,0,0,0,0,0,0,0,0,1374520755,442,
3201,POINT,THROWN,2,4395,2386,8047,4232,0,47.476,9.23,48.365,0,0,0,0,0,1371831602,0,0,0,0,0,1,0,0,0,1374520755,442,
3273,CAUGHT,THROWN,3,3174,7843,3174,5082,1,0,13.805,13.805,1371832225,1371831727,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3276,CAUGHT,THROWN,4,3174,5082,3662,2075,1,6.344,15.035,16.319,1371831727,1371831912,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3280,CAUGHT,THROWN,5,3662,2075,4316,1667,1,8.502,2.04,8.743,1371831912,1371832147,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3283,CAUGHT,THROWN,6,4316,1667,4854,1585,1,6.994,0.41,7.006,1371832147,1371832103,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3286,CAUGHT,THROWN,7,4854,1585,4521,2794,1,-4.329,6.045,7.435,1371832103,1371832147,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3288,CAUGHT,THROWN,8,4521,2794,4170,4820,1,-4.563,10.13,11.11,1371832147,1371832225,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3295,GROUND_CONTACT,THROWN,9,4170,4820,4629,1699,1,5.967,15.605,16.707,1371832225,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1374520755,442,
3310,GROUND_CONTACT,THROWN,10,4727,1209,1934,1699,2,36.309,2.45,36.392,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1374520755,442,
3333,CAUGHT,THROWN,11,2412,1176,3730,1389,3,17.134,1.065,17.167,1371831727,1371832147,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3338,CAUGHT,THROWN,12,3730,1389,3643,2794,3,-1.131,7.025,7.115,1371832147,1371831547,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3345,CAUGHT,THROWN,13,3643,2794,4434,1438,3,10.283,6.78,12.317,1371831547,1371831912,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3348,CAUGHT,THROWN,14,4434,1438,4082,2386,3,-4.576,4.74,6.588,1371831912,1371831547,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3354,CAUGHT,THROWN,15,4082,2386,4678,1487,3,7.748,4.495,8.957,1371831547,1371831727,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3367,GROUND_CONTACT,THROWN,16,4678,1487,8223,8758,3,46.085,36.355,58.698,1371831727,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1374520755,442,
3393,CAUGHT,THROWN,17,7500,8807,7373,4984,4,1.651,19.115,19.186,0,0,0,0,0,1371831547,0,0,0,0,0,0,1,0,1,1374520755,442,
3398,CAUGHT,THROWN,18,7373,4984,7539,1912,4,-2.158,15.36,15.511,0,0,0,0,0,1371832190,0,0,0,0,0,0,1,0,1,1374520755,442,
3412,GROUND_CONTACT,THROWN,19,7539,1912,7285,1830,4,3.302,0.41,3.327,0,0,0,0,0,1371832190,0,0,1,0,0,0,1,0,1,1374520755,442,
3427,CAUGHT,THROWN,20,7285,1650,6777,2729,5,-6.604,5.395,8.528,1371831727,1371832190,0,0,0,0,0,0,0,0,0,0,1,1,1,1374520755,442,
3433,POINT,THROWN,21,6777,2729,8047,1340,5,16.51,6.945,17.911,1371832190,1371832147,0,0,0,0,0,0,0,0,0,1,1,1,1,1374520755,442,
3504,CAUGHT,THROWN,22,3877,2500,4268,6748,6,5.083,21.24,21.84,0,0,0,0,0,1371831602,0,0,0,0,0,0,0,0,2,1374520755,442,
3536,CAUGHT,THROWN,23,4268,6748,4834,7402,6,7.358,3.27,8.052,0,0,0,0,0,1371831849,0,0,0,0,0,0,0,0,2,1374520755,442,
3543,GROUND_CONTACT,THROWN,24,4834,7402,5146,1503,6,4.056,29.495,29.773,0,0,0,0,0,1371831849,0,0,1,0,0,0,0,0,2,1374520755,442,
3561,CAUGHT,THROWN,25,5732,1258,5908,3072,7,-2.288,9.07,9.354,1371831849,1371831602,0,0,0,0,0,0,0,0,0,0,0,1,2,1374520755,442,
3567,CAUGHT,THROWN,26,5908,3072,5723,6928,7,2.405,19.28,19.429,1371831602,1371832059,0,0,0,0,0,0,0,0,0,0,0,1,2,1374520755,442,
3574,CAUGHT,THROWN,27,5723,6928,5713,4363,7,0.13,12.825,12.826,1371832059,1371831849,0,0,0,0,0,0,0,0,0,0,0,1,2,1374520755,442,
3578,CAUGHT,THROWN,28,5713,4363,5176,2157,7,6.981,11.03,13.054,1371831849,1371831624,0,0,0,0,0,0,0,0,0,0,0,1,2,1374520755,442,
