,A,,,
,,,,
,,,,
,Stock Price,Volume,EPS,
Yahoo,$315.97," 14,645,959 ",-$2.07,
Google,$211.06," 11,444,843 ",$0.00,
Kitara,$265.36," 25,870,769 ",$0.00,
CNN,$296.22," 7,023,282 ",$3.10,
Perez Hilton,$156.75," 27,186,476 ",-$2.07,
ESPN,$320.90," 9,819,270 ",-$2.07,
WSJ,$104.91," 23,471,876 ",$3.10,
Guardian,$60.48," 5,934,288 ",$0.00,
Facebook,$33.32," 25,715,165 ",-$1.03,
Twitter,$134.53," 22,060,402 ",$2.07,
,,,,
,B,,,
,,,,
,,,,
,Domain,Stock Price,Volume,EPS
CNN,www.cnn.com,,,
ESPN,www.espn.com,,,
Facebook,www.facebook.com,,,
Google,www.google.com,,,
Guardian,www.guardian.com,,,
Kitara,www.kitara.com,,,
Perez Hilton,www.ph.com,,,
Twitter,www.twitter.com,,,
WSJ,www.wsj.com,,,
Yahoo,www.yahoo.com,,,
