,CTR,CVR,Floor Price,"CTR 1+%, CVR 80+%"
A,1.563%,63.000%,$4.57,
B,1.754%,64.100%,$3.43,
C,0.201%,60.100%,$8.00,
D,2.004%,66.700%,$6.85,
E,0.922%,68.600%,$10.28,
F,0.461%,85.300%,$4.57,
G,0.435%,78.600%,$3.43,
H,0.004%,72.600%,$3.43,
I,0.553%,82.200%,$4.57,
J,0.955%,78.900%,$4.57,
K,1.565%,87.200%,$6.85,
L,1.967%,85.200%,$5.71,
M,1.388%,66.300%,$3.43,
N,0.662%,73.400%,$9.14,
O,0.694%,84.400%,$3.43,
P,1.365%,78.100%,$9.14,
Q,0.269%,61.800%,$9.14,
R,2.099%,88.000%,$9.14,
S,0.395%,67.300%,$10.28,
T,1.924%,61.700%,$6.85,
U,1.476%,84.400%,$9.14,
V,0.755%,83.100%,$5.71,
W,0.290%,83.300%,$10.28,
X,1.270%,85.200%,$9.14,
Y,0.971%,82.700%,$8.00,
Z,1.942%,80.600%,$9.14,
AA,1.776%,81.200%,$5.71,
BB,1.621%,67.200%,$11.42,
CC,0.875%,69.700%,$4.57,
DD,1.702%,63.200%,$11.42,
EE,0.510%,83.800%,$8.00,
FF,1.613%,69.100%,$9.14,
GG,0.985%,64.000%,$4.57,
HH ,1.913%,77.200%,$11.42,
II,1.268%,71.700%,$8.00,
JJ,1.452%,82.900%,$6.85,
KK,1.183%,63.700%,$11.42,
LL,1.734%,87.600%,$11.42,
MM,1.373%,83.000%,$4.57,
NN,0.913%,78.500%,$3.43,
OO,0.835%,73.900%,$9.14,
PP,1.914%,61.200%,$4.57,
QQ,0.414%,71.300%,$8.00,
RR,1.431%,81.700%,$11.42,
SS,0.305%,60.600%,$9.14,
TT,1.851%,61.800%,$9.14,
UU,0.326%,68.400%,$11.42,
VV,1.468%,72.900%,$6.85,
WW,0.285%,81.200%,$8.00,
XX,0.405%,79.800%,$5.71,
YY,0.568%,61.400%,$6.85,
ZZ,2.027%,78.800%,$6.85,
